role,feature,instances,p10,median,p90
detector_train,bbox_width_px,422,13.100000000000001,31.0,47.0
detector_train,bbox_height_px,422,13.100000000000001,28.0,40.0
detector_train,relative_area,422,3.206983024691358e-05,0.00011479170100707748,0.00020774121646727602
detector_train,target_luminance_mean,422,0.2255491942167282,0.38838738203048706,0.5464393496513369
detector_train,target_luminance_std,422,0.04595110639929772,0.08916245028376579,0.17016174346208573
detector_train,context_luminance_mean,422,0.20141513645648956,0.3954205811023712,0.48089745342731477
detector_train,context_luminance_std,422,0.019787207059562207,0.02907802164554596,0.11802403628826147
detector_train,absolute_luminance_contrast,422,0.008012619614601136,0.03761319816112518,0.1040291100740433
detector_train,standardized_luminance_contrast,422,0.20615572145262973,0.7614251452417906,3.175516013176363
detector_train,target_saturation_mean,422,0.2605716705322266,0.5682879686355591,0.6981751978397371
detector_train,target_gradient_mean,422,0.012940927036106586,0.018069805577397346,0.05589737035334114
detector_dev,bbox_width_px,64,23.0,27.5,30.0
detector_dev,bbox_height_px,64,27.3,34.5,37.0
detector_dev,relative_area,64,7.241030092592594e-05,0.00011441454475308641,0.00013382523148148148
detector_dev,target_luminance_mean,64,0.8169556021690368,0.8735611438751221,0.9227338612079621
detector_dev,target_luminance_std,64,0.12184607088565827,0.15954554826021194,0.18778156936168672
detector_dev,context_luminance_mean,64,0.44777865409851075,0.5420357286930084,0.5688936710357666
detector_dev,context_luminance_std,64,0.20261565297842027,0.23386423289775848,0.24860670268535615
detector_dev,absolute_luminance_contrast,64,0.2421107649803162,0.37532612681388855,0.4251161366701126
detector_dev,standardized_luminance_contrast,64,1.205667061424617,1.6033111083398404,1.883717809066227
detector_dev,target_saturation_mean,64,0.19041764438152314,0.32759974896907806,0.39322554767131807
detector_dev,target_gradient_mean,64,0.02129702176898718,0.02998478338122368,0.037432854622602464
calibration_fit,bbox_width_px,364,19.0,32.0,37.0
calibration_fit,bbox_height_px,364,16.0,22.0,34.0
calibration_fit,relative_area,364,3.8580246913580246e-05,8.39723186728395e-05,0.0001343315972222222
calibration_fit,target_luminance_mean,364,0.31394197046756744,0.485378161072731,0.543410313129425
calibration_fit,target_luminance_std,364,0.10947589427232743,0.15917783975601196,0.1792983278632164
calibration_fit,context_luminance_mean,364,0.35986070036888124,0.4542846530675888,0.4981680065393448
calibration_fit,context_luminance_std,364,0.025971068628132345,0.06674741581082344,0.175572595000267
calibration_fit,absolute_luminance_contrast,364,0.00773151218891144,0.04914684593677521,0.09194165170192717
calibration_fit,standardized_luminance_contrast,364,0.1174613078410856,0.6191985660008261,2.469698189542935
calibration_fit,target_saturation_mean,364,0.26460190415382384,0.5547787547111511,0.6412086367607116
calibration_fit,target_gradient_mean,364,0.03955671191215515,0.05298498272895813,0.06551037281751633
policy_tune,bbox_width_px,73,29.0,35.0,48.599999999999994
policy_tune,bbox_height_px,73,19.0,27.0,43.0
policy_tune,relative_area,73,7.12770061728395e-05,0.00012490354938271604,0.00017638406635802468
policy_tune,target_luminance_mean,73,0.28883735537528993,0.35458147525787354,0.5206205487251282
policy_tune,target_luminance_std,73,0.13392147719860076,0.16715890169143677,0.2032735854387283
policy_tune,context_luminance_mean,73,0.4177201151847839,0.4559532701969147,0.4812625825405121
policy_tune,context_luminance_std,73,0.04209703207015991,0.05985245481133461,0.1654670387506485
policy_tune,absolute_luminance_contrast,73,0.02276213765144348,0.1036655604839325,0.15973095893859862
policy_tune,standardized_luminance_contrast,73,0.3879748857531051,1.0946469668129517,2.7397633203310585
policy_tune,target_saturation_mean,73,0.3078133583068848,0.46881362795829773,0.622271454334259
policy_tune,target_gradient_mean,73,0.033564251661300656,0.0482737235724926,0.06088433116674423
