annotation_id,image_id,relative_area,best_any_iou_natural_640,best_any_category_natural_640,best_any_score_natural_640,best_same_iou_natural_640,best_same_score_natural_640,best_any_iou_repeat4_640,best_any_category_repeat4_640,best_any_score_repeat4_640,best_same_iou_repeat4_640,best_same_score_repeat4_640,best_any_iou_natural_1280,best_any_category_natural_1280,best_any_score_natural_1280,best_same_iou_natural_1280,best_same_score_natural_1280,best_any_iou_repeat4_1280,best_any_category_repeat4_1280,best_any_score_repeat4_1280,best_same_iou_repeat4_1280,best_same_score_repeat4_1280
25352,5173,9.343653549382716e-05,0.03013884051772354,boat,0.8668766021728516,0.0,,0.028699110429047908,boat,0.8625696301460266,0.0,,0.028881023618807546,boat,0.8950253129005432,0.0,,0.02891178861685301,boat,0.9104663133621216,0.0,
25363,5174,0.00010030864197530864,0.031506267744700396,boat,0.8575350046157837,0.0,,0.030346051309465587,boat,0.8738147020339966,0.0,,0.03222904566151664,boat,0.9000439047813416,0.0,,0.03155432744330531,boat,0.9188284873962402,0.0,
25374,5175,0.00011067708333333333,0.03383844991511206,boat,0.855901300907135,0.0,,0.03469987441326248,boat,0.8724883198738098,0.0,,0.03331097452726886,boat,0.8829988241195679,0.0,,0.126223638567318,boat,0.0016686226008459926,0.0,
25385,5176,0.0001181520061728395,0.03573960197843563,boat,0.8435931205749512,0.0,,0.03635624073320024,boat,0.8731145858764648,0.0,,0.03764858141214314,boat,0.8714879155158997,0.0,,0.0363915619821875,boat,0.8898423314094543,0.0,
25396,5177,0.0001181520061728395,0.03588311307035123,boat,0.8503779172897339,0.0,,0.034653995901583884,boat,0.8696821331977844,0.0,,0.037237960748166814,boat,0.8699713349342346,0.0,,0.036135042881438484,boat,0.8864660859107971,0.0,
25408,5178,0.0001181520061728395,0.03644003600966815,boat,0.8475016951560974,0.0,,0.036407498523361205,boat,0.879632294178009,0.0,,0.03703825793453675,boat,0.8762364983558655,0.0,,0.036802391038257054,boat,0.8629929423332214,0.0,
25420,5179,0.0001181520061728395,0.03728536461183658,boat,0.8500084280967712,0.0,,0.035598744036516757,boat,0.8860874176025391,0.0,,0.03907067735927081,boat,0.8835972547531128,0.0,,0.22638358462317276,boat,0.005716868210583925,0.0,
25432,5180,0.0001181520061728395,0.037211861997120885,boat,0.8557619452476501,0.0,,0.03570888455620141,boat,0.8840869665145874,0.0,,0.03818980919016481,boat,0.8778805732727051,0.0,,0.03707831288800976,boat,0.8625380992889404,0.0,
25444,5181,0.0001181520061728395,0.036246819869335915,boat,0.8603795170783997,0.0,,0.03584357736563247,boat,0.8946971297264099,0.0,,0.03743755388821257,boat,0.8629969954490662,0.0,,0.09727668458887,boat,0.006788942031562328,0.0,
25456,5182,0.00012237172067901234,0.03856732645008409,boat,0.8694795966148376,0.0,,0.036974976581495046,boat,0.8813291192054749,0.0,,0.03849276107319538,boat,0.8990585207939148,0.0,,0.037883316371726226,boat,0.8745973706245422,0.0,
